Classifier,Featurelist,CV_Score,PublicAMS,PrivateAMS,time_train,time_pred,Settings,None,None,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8207,3.16704382886211,3.17945436185114,1.19507002830505,82.3008389472961,threshold=0.7777,k=171,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82064,3.17986643997764,3.17462621296293,1.17211008071899,82.8577759265899,threshold=0.7777,k=173,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82047,3.18445416793255,3.17642081497316,1.34209918975830,85.7619788646698,threshold=0.7777,k=175,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82048,3.18016770925172,3.17849550281719,1.18405604362487,80.4115929603576,threshold=0.7777,k=177,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8205,3.17425661356202,3.18096820408495,1.20905089378356,85.5089099407196,threshold=0.7777,k=179,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82038,3.17290919218830,3.17559824207105,1.19302892684936,85.9779989719390,threshold=0.7777,k=181,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82056,3.17380540665844,3.17660255436546,1.19205307960510,84.9399240016937,threshold=0.7777,k=183,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82058,3.17643825696659,3.17775760509613,1.19401192665100,86.4719460010528,threshold=0.7777,k=185,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82034,3.17220686747846,3.17994032352073,1.18106794357299,86.6479520797729,threshold=0.7777,k=187,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8204,3.17143482926954,3.17394702852527,1.20013880729675,88.9220571517944,threshold=0.7777,k=189,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82028,3.16530913068022,3.17013685661782,1.18511295318603,87.491042137146,threshold=0.7777,k=191,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82042,3.17129483325423,3.17816898388420,1.21010112762451,88.1600530147552,threshold=0.7777,k=193,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82007,3.17267135023635,3.17576470882806,1.18305301666259,88.7491159439086,threshold=0.7777,k=195,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82015,3.16771275884229,3.17557474055696,1.17906785011291,85.7829442024231,threshold=0.7777,k=197,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82009,3.17656975354849,3.17802366703118,1.17908906936645,90.3211848735809,threshold=0.7777,k=199,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82,3.16795446914627,3.17896517845415,1.17604804039001,92.5322928428649,threshold=0.7777,k=201,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82,3.16795446914627,3.17896517845415,1.25602889060974,92.6323399543762,threshold=0.7777,k=201,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82002,3.1704657203207,3.17696357366674,1.20203900337219,91.2192339897155,threshold=0.7777,k=203,p=1,None,None,None,None,None,None,None,None,None,None
